Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,,,,,,,9000000,2000000,,3000000,,,,0,,,,,,,1000000,5000000,3000000,11000000,2000000,,,,,6000000,6000000,,,,,,,,,,,1000000,3000000,,,,,,,1000000,2000000,,5000000,,,1000000,3000000,,,2000000,,,
Belgium,92000000,132000000,188000000,573000000,648000000,512000000,106000000,39000000,220000000,240000000,514000000,499000000,492000000,580000000,113000000,130000000,184000000,187000000,412000000,792000000,577000000,521000000,438000000,583000000,575000000,287000000,91000000,91000000,407000000,203000000,314000000,125000000,48000000,73000000,47000000,16000000,3000000,50000000,55000000,58000000,35000000,29000000,48000000,21000000,15000000,3000000,15000000,171000000,191000000,86000000,35000000,23000000,29000000,45000000,100000000,55000000,4000000,7000000,1000000,9000000,90000000,255000000,158000000
Benin,,2000000,1000000,,2000000,,1000000,,,,0,2000000,,1000000,,,,,26000000,6000000,,,10000000,3000000,1000000,3000000,,1000000,0,0,,,,,,,1000000,,,,,,7000000,,,,,3000000,,1000000,0,0,20000000,2000000,,,1000000,,,,1000000,,1000000
Burkina Faso,,1000000,,,1000000,0,0,,0,1000000,1000000,1000000,,,,14000000,8000000,9000000,,,0,9000000,1000000,16000000,9000000,2000000,3000000,,12000000,,,2000000,,7000000,,,,,,0,,,,,,12000000,4000000,4000000,,3000000,0,15000000,3000000,,,5000000,7000000,2000000,23000000,7000000,2000000,28000000,1000000
Bangladesh,,,,,,,,,,,,10000000,2000000,76000000,44000000,39000000,70000000,62000000,45000000,1000000,55000000,62000000,128000000,109000000,59000000,81000000,4000000,1000000,242000000,302000000,188000000,79000000,113000000,47000000,61000000,119000000,7000000,26000000,1000000,186000000,203000000,279000000,33000000,8000000,32000000,10000000,221000000,88000000,12000000,,36000000,117000000,184000000,650000000,203000000,636000000,449000000,331000000,155000000,714000000,59000000,73000000,184000000
Bulgaria,474000000,523000000,494000000,538000000,326000000,372000000,218000000,329000000,250000000,526000000,764000000,400000000,471000000,292000000,302000000,390000000,368000000,492000000,876000000,323000000,580000000,984000000,610000000,764000000,943000000,600000000,920000000,437000000,246000000,336000000,759000000,340000000,42000000,1000000,1000000,1000000,122000000,,,7000000,,,,2000000,12000000,132000000,22000000,48000000,117000000,119000000,8000000,29000000,5000000,,,5000000,,,,2000000,44000000,1000000,4000000
Bahrain,,,,,,,,,,,,0,7000000,0,1000000,,,2000000,12000000,10000000,22000000,40000000,55000000,10000000,131000000,55000000,134000000,250000000,136000000,71000000,362000000,68000000,42000000,1000000,8000000,71000000,51000000,198000000,8000000,,299000000,28000000,54000000,1000000,10000000,66000000,63000000,27000000,21000000,,100000000,4000000,24000000,69000000,1000000,17000000,25000000,27000000,72000000,17000000,27000000,183000000,364000000
"Bahamas, The",,,,,,,,,,,,,,,,,,,11000000,,,,,,,,33000000,,,,2000000,3000000,,,,,,,,,33000000,,,,,3000000,,,,1000000,,,,,30000000,16000000,20000000,12000000,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,6000000,,58000000,76000000,2000000,25000000,,,,,,,,,,,,,,,,,,0,,0,0,12000000,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000000,41000000,,,,,,6000000,140000000,,,3000000,,75000000,75000000,75000000,66000000,98000000,117000000,147000000,142000000,333000000,13000000,69000000,225000000
